recordType,type,id,toId,floor,x,y,capacity,baseVelocity,congestionSensitivity,serviceRate,maxSimultaneousServices,length,width,isEscalator,maxConcurrentOccupancy,scannerCount,checkTimePerPerson,hasBannedItem,windowCount,buyTimePerPerson,hasAutoMachine,gateCount,isBidirectional,exitName,connectedStreet,isOneWay,totalExits,lineName,direction,waitCap,hasScreenDoor,nextTrainIn,stepCount
NODE,HALL,HALL_-1_1,,-1,100,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_-1_2,,-1,300,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_-1_3,,-1,500,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_-1_4,,-1,700,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_-1_5,,-1,900,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_-1_1,,-1,100,200,20,5,1.2,0.6,1,,,,,3,10,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_-1_2,,-1,300,200,30,5,1.2,0.6,1,,,,,3,10,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_-1_3,,-1,800,300,30,5,1.2,0.6,1,,,,,3,10,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_-1_4,,-1,900,300,30,5,1.2,0.6,1,,,,,3,10,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_-1_5,,-1,1000,300,30,5,1.2,0.6,1,,,,,3,10,0,,,,,,,,,,,,,,,
NODE,TICKET,TIC_-1_1,,-1,100,300,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_-1_2,,-1,100,350,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_-1_3,,-1,100,400,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_-1_4,,-1,1100,350,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_-1_5,,-1,1100,450,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,GATE,GIN_-1_1,,-1,100,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_-1_2,,-1,300,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_-1_3,,-1,500,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_-1_4,,-1,700,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_-1_5,,-1,900,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,STAIR,STAIR_-1_1,,-1,100,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,STAIR,STAIR_-1_2,,-1,500,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,STAIR,STAIR_-1_3,,-1,900,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,PLATFORM,PLAT_-1_1,,-1,50,800,400,8,2.5,0.7,1,,,,,,,,,,,,,,,,,Line1,0,400,1,120,
NODE,PLATFORM,PLAT_-1_2,,-1,1100,800,400,8,2.5,0.7,1,,,,,,,,,,,,,,,,,Line1,1,400,1,120,
NODE,GATE,GOUT_-1_1,,-1,100,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_-1_2,,-1,300,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_-1_3,,-1,500,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_-1_4,,-1,700,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_-1_5,,-1,900,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,EXIT,EXIT_-1_1,,-1,100,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E1,  һ·,1,5,,,,,,
NODE,EXIT,EXIT_-1_2,,-1,300,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E2,    ·,1,5,,,,,,
NODE,EXIT,EXIT_-1_3,,-1,500,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E3,    ·,1,5,,,,,,
NODE,EXIT,EXIT_-1_4,,-1,700,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E4,    ·,1,5,,,,,,
NODE,EXIT,EXIT_-1_5,,-1,900,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E5,    ·,1,5,,,,,,
NODE,HALL,HALL_1_1,,1,100,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_1_2,,1,300,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_1_3,,1,500,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_1_4,,1,700,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_1_5,,1,900,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_1_1,,1,100,200,50,5,1.2,0.6,1,,,,,4,8,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_1_2,,1,300,200,50,5,1.2,0.6,1,,,,,4,8,0,,,,,,,,,,,,,,,
